"template_id","question","question_type","attribute_type","answer_candidates"
11,"What form-related symptoms does this ECG show?","single-query","scp_code","['abnormal qrs', 'atrial premature complex', 'digitalis effect', 'high qrs voltage', 'inverted t-waves', 'long qt-interval', 'low amplitude t-wave', 'low qrs voltages in the frontal and horizontal leads', 'non-diagnostic t abnormalities', 'non-specific st changes', 'non-specific st depression', 'non-specific st elevation', 'non-specific t-wave changes', 'none', 'prolonged pr interval', 'q waves present', 't-wave abnormality', 'ventricular premature complex', 'voltage criteria (qrs) for left ventricular hypertrophy']"
12,"Does this ECG show any kind of abnormal symptoms?","single-verify","scp_code","['no', 'yes']"
13,"Does this ECG show any diagnostic symptoms, including uncertain symptoms?","single-verify","scp_code","['no', 'yes']"
14,"Does this ECG show any diagnostic symptoms, excluding uncertain symptoms?","single-verify","scp_code","['no', 'yes']"
15,"Does this ECG show any form-related symptoms?","single-verify","scp_code","['no', 'yes']"
16,"Does this ECG show any rhythm-related symptoms?","single-verify","scp_code","['no', 'yes']"
17,"Does this ECG show symptoms of non-diagnostic t abnormalities in lead I?","single-verify","scp_code","['no', 'yes']"
18,"What form-related symptoms does this ECG show in lead I?","single-query","scp_code","['digitalis effect', 'high qrs voltage', 'inverted t-waves', 'low amplitude t-wave', 'low qrs voltages in the frontal and horizontal leads', 'non-diagnostic t abnormalities', 'non-specific st changes', 'non-specific st depression', 'non-specific st elevation', 'non-specific t-wave changes', 'none', 'q waves present', 't-wave abnormality', 'voltage criteria (qrs) for left ventricular hypertrophy']"
19,"What leads are showing symptoms of low qrs voltages in the frontal and horizontal leads in this ECG?","single-query","scp_code","['lead I', 'lead II', 'lead III', 'lead V1', 'lead V2', 'lead V3', 'lead V4', 'lead V5', 'lead V6', 'lead aVF', 'lead aVL', 'lead aVR', 'none']"
20,"Does this ECG show left axis deviation?","single-verify","heart_axis","['no', 'yes']"
21,"Which cardiac axis does this ECG show, right axis deviation or left axis deviation?","single-choose","heart_axis","['extreme axis deviation', 'left axis deviation', 'none', 'normal heart axis', 'right axis deviation']"
22,"What direction is this ECG deviated to?","single-query","heart_axis","['extreme axis deviation', 'left axis deviation', 'normal heart axis', 'right axis deviation']"
23,"Does this ECG show early stage of myocardial infarction?","single-verify","stage_of_infarction","['no', 'yes']"
24,"Which stage of infarction is this ECG at, middle stage of myocardial infarction or early stage of myocardial infarction?","single-choose","stage_of_infarction","['early stage of myocardial infarction', 'old stage of myocardial infarction', 'middle stage of myocardial infarction', 'none']"
25,"What stage of infarction is this ECG at?","single-query","stage_of_infarction","['early stage of myocardial infarction', 'old stage of myocardial infarction', 'middle stage of myocardial infarction', 'none of myocardial infarction', 'unknown stage of myocardial infarction']"
26,"Does this ECG show baseline drift in lead I?","single-verify","noise","['no', 'yes']"
27,"Does this ECG show baseline drift?","single-verify","noise","['no', 'yes']"
28,"Does this ECG show any kind of noises in lead I?","single-verify","noise","['no', 'yes']"
29,"Does this ECG show any kind of noises?","single-verify","noise","['no', 'yes']"
30,"Which noise does this ECG show, static noise or baseline drift?","single-choose","noise","['baseline drift', 'burst noise', 'electrodes problems', 'none', 'static noise']"
31,"Which noise does this ECG show in lead I, static noise or baseline drift?","single-choose","noise","['baseline drift', 'burst noise', 'electrodes problems', 'none', 'static noise']"
32,"What kind of noises does this ECG show?","single-query","noise","['baseline drift', 'burst noise', 'electrodes problems', 'none', 'static noise']"
33,"What kind of noises does this ECG show in lead I?","single-query","noise","['baseline drift', 'burst noise', 'electrodes problems', 'none', 'static noise']"
34,"What leads are showing baseline drift in this ECG?","single-query","noise","['lead I', 'lead II', 'lead III', 'lead V1', 'lead V2', 'lead V3', 'lead V4', 'lead V5', 'lead V6', 'lead aVF', 'lead aVL', 'lead aVR', 'none']"
35,"Does this ECG show any kind of extra systoles?","single-verify","extra_systole","['no', 'yes']"
36,"Does this ECG show extrasystoles?","single-verify","extra_systole","['no', 'yes']"
37,"Which kind of extra systoles does this ECG show, ventricular extrasystoles or ventricular ventricular extrasystoles?","single-choose","extra_systole","['extrasystoles', 'none', 'supraventricular extrasystoles', 'ventricular extrasystoles']"
38,"What kind of extra systole does this ECG show?","single-query","extra_systole","['extrasystoles', 'none', 'supraventricular extrasystoles', 'ventricular extrasystoles']"
39,"Does the rr interval of this ECG fall below the normal range?","single-verify","numeric_feature","['no', 'yes']"
40,"Which range does the rr interval of this ECG fall in, below the normal range or within the normal range?","single-choose","numeric_feature","['above the normal range', 'below the normal range', 'none', 'within the normal range']"
41,"What range does the rr interval of this ECG fall in?","single-query","numeric_feature","['above the normal range', 'below the normal range', 'within the normal range']"
42,"What numeric features of this ECG fall within the normal range?","single-query","numeric_feature","['none', 'p duration', 'pr interval', 'qrs duration', 'qt corrected', 'qt interval', 'rr interval']"
43,"Compared to the previous tracing, has non-diagnostic t abnormalities been resolved in the recent tracing?","comparison_consecutive-verify","scp_code","['no', 'yes']"
44,"Compared to the previous tracing, has non-diagnostic t abnormalities been newly detected in the recent tracing?","comparison_consecutive-verify","scp_code","['no', 'yes']"
45,"Compared to the previous tracing, does non-diagnostic t abnormalities still remain in the recent tracing?","comparison_consecutive-verify","scp_code","['no', 'yes']"
46,"Compared to the previous tracing, is non-diagnostic t abnormalities still not found in the recent tracing?","comparison_consecutive-verify","scp_code","['no', 'yes']"
47,"What symptoms have been resolved in the recent tracing as compared to the previous one?","comparison_consecutive-query","scp_code","['abnormal qrs', 'atrial fibrillation', 'atrial flutter', 'atrial premature complex', 'bigeminal pattern (unknown origin, supraventricular, or ventricular)', 'complete left bundle branch block', 'complete right bundle branch block', 'digitalis effect', 'first degree av block', 'high qrs voltage', 'incomplete left bundle branch block', 'incomplete right bundle branch block', 'inverted t-waves', 'ischemic in anterior leads', 'ischemic in anterolateral leads', 'ischemic in anteroseptal leads', 'ischemic in inferior leads', 'ischemic in inferolateral leads', 'ischemic in lateral leads', 'left anterior fascicular block', 'left atrial overload/enlargement', 'left posterior fascicular block', 'left ventricular hypertrophy', 'long qt-interval', 'low amplitude t-wave', 'low qrs voltages in the frontal and horizontal leads', 'myocardial infarction in anterior leads', 'myocardial infarction in anterolateral leads', 'myocardial infarction in anteroseptal leads', 'myocardial infarction in inferior leads', 'myocardial infarction in inferolateral leads', 'myocardial infarction in inferoposterior leads', 'myocardial infarction in inferoposterolateral leads', 'myocardial infarction in lateral leads', 'myocardial infarction in posterior leads', 'non-diagnostic t abnormalities', 'non-specific intraventricular conduction disturbance (block)', 'non-specific ischemic', 'non-specific st changes', 'non-specific st depression', 'non-specific st elevation', 'non-specific t-wave changes', 'none', 'normal functioning artificial pacemaker', 'prolonged pr interval', 'q waves present', 'right atrial overload/enlargement', 'sinus arrhythmia', 'sinus bradycardia', 'sinus rhythm', 'sinus tachycardia', 'subendocardial injury in anterolateral leads', 'subendocardial injury in anteroseptal leads', 'subendocardial injury in inferior leads', 'subendocardial injury in inferolateral leads', 'subendocardial injury in lateral leads', 'supraventricular tachycardia', 't-wave abnormality', 'ventricular premature complex', 'voltage criteria (qrs) for left ventricular hypertrophy']"
48,"What symptoms are newly detected in the recent tracing as compared to the previous one?","comparison_consecutive-query","scp_code","['abnormal qrs', 'atrial fibrillation', 'atrial flutter', 'atrial premature complex', 'bigeminal pattern (unknown origin, supraventricular, or ventricular)', 'complete left bundle branch block', 'complete right bundle branch block', 'digitalis effect', 'first degree av block', 'incomplete left bundle branch block', 'incomplete right bundle branch block', 'inverted t-waves', 'ischemic in anterior leads', 'ischemic in anterolateral leads', 'ischemic in anteroseptal leads', 'ischemic in inferior leads', 'ischemic in inferolateral leads', 'ischemic in lateral leads', 'left anterior fascicular block', 'left atrial overload/enlargement', 'left posterior fascicular block', 'left ventricular hypertrophy', 'long qt-interval', 'low amplitude t-wave', 'low qrs voltages in the frontal and horizontal leads', 'myocardial infarction in anterior leads', 'myocardial infarction in anterolateral leads', 'myocardial infarction in anteroseptal leads', 'myocardial infarction in inferior leads', 'myocardial infarction in inferolateral leads', 'myocardial infarction in inferoposterior leads', 'myocardial infarction in inferoposterolateral leads', 'myocardial infarction in lateral leads', 'myocardial infarction in posterior leads', 'non-diagnostic t abnormalities', 'non-specific intraventricular conduction disturbance (block)', 'non-specific ischemic', 'non-specific st changes', 'non-specific st depression', 'non-specific t-wave changes', 'none', 'normal functioning artificial pacemaker', 'prolonged pr interval', 'q waves present', 'right atrial overload/enlargement', 'sinus arrhythmia', 'sinus bradycardia', 'sinus rhythm', 'sinus tachycardia', 'subendocardial injury in anterolateral leads', 'subendocardial injury in anteroseptal leads', 'subendocardial injury in inferior leads', 'subendocardial injury in inferolateral leads', 'subendocardial injury in lateral leads', 'supraventricular tachycardia', 't-wave abnormality', 'ventricular premature complex', 'voltage criteria (qrs) for left ventricular hypertrophy']"
49,"What symptoms still remain in the recent tracing as compared to the previous one?","comparison_consecutive-query","scp_code","['abnormal qrs', 'atrial fibrillation', 'atrial flutter', 'atrial premature complex', 'complete left bundle branch block', 'complete right bundle branch block', 'digitalis effect', 'first degree av block', 'incomplete right bundle branch block', 'inverted t-waves', 'ischemic in anterior leads', 'ischemic in anterolateral leads', 'ischemic in anteroseptal leads', 'ischemic in inferior leads', 'ischemic in inferolateral leads', 'ischemic in lateral leads', 'left anterior fascicular block', 'left atrial overload/enlargement', 'left posterior fascicular block', 'left ventricular hypertrophy', 'long qt-interval', 'low amplitude t-wave', 'low qrs voltages in the frontal and horizontal leads', 'myocardial infarction in anterior leads', 'myocardial infarction in anterolateral leads', 'myocardial infarction in anteroseptal leads', 'myocardial infarction in inferior leads', 'myocardial infarction in inferolateral leads', 'myocardial infarction in inferoposterior leads', 'myocardial infarction in lateral leads', 'non-diagnostic t abnormalities', 'non-specific intraventricular conduction disturbance (block)', 'non-specific ischemic', 'non-specific st changes', 'non-specific st depression', 'non-specific st elevation', 'non-specific t-wave changes', 'none', 'normal functioning artificial pacemaker', 'prolonged pr interval', 'q waves present', 'right atrial overload/enlargement', 'sinus arrhythmia', 'sinus bradycardia', 'sinus rhythm', 'sinus tachycardia', 'subendocardial injury in anterolateral leads', 'subendocardial injury in anteroseptal leads', 'subendocardial injury in inferior leads', 'subendocardial injury in inferolateral leads', 't-wave abnormality', 'ventricular premature complex', 'voltage criteria (qrs) for left ventricular hypertrophy']"
50,"Compared to the previous tracing, has the rr interval of the recent tracing become normal?","comparison_consecutive-verify","numeric_feature","['no', 'yes']"
51,"Compared to the previous tracing, has the rr interval of the recent tracing changed to an abnormal value?","comparison_consecutive-verify","numeric_feature","['no', 'yes']"
52,"Compared to the previous tracing, does the rr interval still show an abnormal value in the recent tracing?","comparison_consecutive-verify","numeric_feature","['no', 'yes']"
53,"Compared to the previous tracing, is the rr interval still considered normal in the recent tracing?","comparison_consecutive-verify","numeric_feature","['no', 'yes']"
54,"What numeric features of the recent tracing now have become normal compared to the previous one?","comparison_consecutive-query","numeric_feature","['none', 'p duration', 'pr interval', 'qrs duration', 'qt corrected', 'qt interval', 'rr interval']"
55,"What numeric features of the recent tracing are now considered abnormal values compared to the previous one?","comparison_consecutive-query","numeric_feature","['none', 'p duration', 'pr interval', 'qrs duration', 'qt corrected', 'qt interval', 'rr interval']"
56,"What numeric features of the recent tracing are still abnormal compared to the previous one?","comparison_consecutive-query","numeric_feature","['none', 'p duration', 'pr interval', 'qrs duration', 'qt corrected', 'qt interval', 'rr interval']"
57,"Compared to the first ECG, has non-diagnostic t abnormalities been resolved in the second ECG?","comparison_irrelevant-verify","scp_code","['no', 'yes']"
58,"Compared to the first ECG, has non-diagnostic t abnormalities been newly detected in the second ECG?","comparison_irrelevant-verify","scp_code","['no', 'yes']"
59,"Compared to the first ECG, does non-diagnostic t abnormalities still remain in the second ECG?","comparison_irrelevant-verify","scp_code","['no', 'yes']"
60,"Compared to the first ECG, is non-diagnostic t abnormalities still not found in the second ECG?","comparison_irrelevant-verify","scp_code","['no', 'yes']"
61,"What symptoms have been resolved in the second ECG as compared to the first ECG?","comparison_irrelevant-query","scp_code","['abnormal qrs', 'atrial fibrillation', 'atrial flutter', 'atrial premature complex', 'bigeminal pattern (unknown origin, supraventricular, or ventricular)', 'complete left bundle branch block', 'complete right bundle branch block', 'digitalis effect', 'first degree av block', 'high qrs voltage', 'incomplete left bundle branch block', 'incomplete right bundle branch block', 'inverted t-waves', 'ischemic in anterior leads', 'ischemic in anterolateral leads', 'ischemic in anteroseptal leads', 'ischemic in inferior leads', 'ischemic in inferolateral leads', 'ischemic in lateral leads', 'left anterior fascicular block', 'left atrial overload/enlargement', 'left posterior fascicular block', 'left ventricular hypertrophy', 'long qt-interval', 'low amplitude t-wave', 'low qrs voltages in the frontal and horizontal leads', 'myocardial infarction in anterior leads', 'myocardial infarction in anterolateral leads', 'myocardial infarction in anteroseptal leads', 'myocardial infarction in inferior leads', 'myocardial infarction in inferolateral leads', 'myocardial infarction in inferoposterior leads', 'myocardial infarction in inferoposterolateral leads', 'myocardial infarction in lateral leads', 'myocardial infarction in posterior leads', 'non-diagnostic t abnormalities', 'non-specific intraventricular conduction disturbance (block)', 'non-specific ischemic', 'non-specific st changes', 'non-specific st depression', 'non-specific st elevation', 'non-specific t-wave changes', 'none', 'normal functioning artificial pacemaker', 'prolonged pr interval', 'q waves present', 'right atrial overload/enlargement', 'sinus arrhythmia', 'sinus bradycardia', 'sinus rhythm', 'sinus tachycardia', 'subendocardial injury in anterolateral leads', 'subendocardial injury in anteroseptal leads', 'subendocardial injury in inferior leads', 'subendocardial injury in inferolateral leads', 'subendocardial injury in lateral leads', 'supraventricular tachycardia', 't-wave abnormality', 'ventricular premature complex', 'voltage criteria (qrs) for left ventricular hypertrophy']"
62,"What symptoms are newly detected in the second ECG as compared to the first ECG?","comparison_irrelevant-query","scp_code","['abnormal qrs', 'atrial fibrillation', 'atrial flutter', 'atrial premature complex', 'bigeminal pattern (unknown origin, supraventricular, or ventricular)', 'complete left bundle branch block', 'complete right bundle branch block', 'digitalis effect', 'first degree av block', 'high qrs voltage', 'incomplete left bundle branch block', 'incomplete right bundle branch block', 'inverted t-waves', 'ischemic in anterior leads', 'ischemic in anterolateral leads', 'ischemic in anteroseptal leads', 'ischemic in inferior leads', 'ischemic in inferolateral leads', 'ischemic in lateral leads', 'left anterior fascicular block', 'left atrial overload/enlargement', 'left posterior fascicular block', 'left ventricular hypertrophy', 'long qt-interval', 'low amplitude t-wave', 'low qrs voltages in the frontal and horizontal leads', 'myocardial infarction in anterior leads', 'myocardial infarction in anterolateral leads', 'myocardial infarction in anteroseptal leads', 'myocardial infarction in inferior leads', 'myocardial infarction in inferolateral leads', 'myocardial infarction in inferoposterior leads', 'myocardial infarction in inferoposterolateral leads', 'myocardial infarction in lateral leads', 'myocardial infarction in posterior leads', 'non-diagnostic t abnormalities', 'non-specific intraventricular conduction disturbance (block)', 'non-specific ischemic', 'non-specific st changes', 'non-specific st depression', 'non-specific st elevation', 'non-specific t-wave changes', 'none', 'normal functioning artificial pacemaker', 'prolonged pr interval', 'q waves present', 'right atrial overload/enlargement', 'sinus arrhythmia', 'sinus bradycardia', 'sinus rhythm', 'sinus tachycardia', 'subendocardial injury in anterolateral leads', 'subendocardial injury in anteroseptal leads', 'subendocardial injury in inferior leads', 'subendocardial injury in inferolateral leads', 'subendocardial injury in lateral leads', 'supraventricular tachycardia', 't-wave abnormality', 'ventricular premature complex', 'voltage criteria (qrs) for left ventricular hypertrophy']"
63,"What symptoms still remain in the second ECG as compared to the first ECG?","comparison_irrelevant-query","scp_code","['abnormal qrs', 'atrial fibrillation', 'atrial flutter', 'atrial premature complex', 'bigeminal pattern (unknown origin, supraventricular, or ventricular)', 'complete left bundle branch block', 'complete right bundle branch block', 'digitalis effect', 'first degree av block', 'high qrs voltage', 'incomplete left bundle branch block', 'incomplete right bundle branch block', 'inverted t-waves', 'ischemic in anterior leads', 'ischemic in anterolateral leads', 'ischemic in anteroseptal leads', 'ischemic in inferior leads', 'ischemic in inferolateral leads', 'ischemic in lateral leads', 'left anterior fascicular block', 'left atrial overload/enlargement', 'left posterior fascicular block', 'left ventricular hypertrophy', 'long qt-interval', 'low amplitude t-wave', 'low qrs voltages in the frontal and horizontal leads', 'myocardial infarction in anterior leads', 'myocardial infarction in anterolateral leads', 'myocardial infarction in anteroseptal leads', 'myocardial infarction in inferior leads', 'myocardial infarction in inferolateral leads', 'myocardial infarction in inferoposterior leads', 'myocardial infarction in inferoposterolateral leads', 'myocardial infarction in lateral leads', 'myocardial infarction in posterior leads', 'non-diagnostic t abnormalities', 'non-specific intraventricular conduction disturbance (block)', 'non-specific ischemic', 'non-specific st changes', 'non-specific st depression', 'non-specific st elevation', 'non-specific t-wave changes', 'none', 'normal functioning artificial pacemaker', 'prolonged pr interval', 'q waves present', 'right atrial overload/enlargement', 'sinus arrhythmia', 'sinus bradycardia', 'sinus rhythm', 'sinus tachycardia', 'subendocardial injury in anterolateral leads', 'subendocardial injury in anteroseptal leads', 'subendocardial injury in inferior leads', 'subendocardial injury in inferolateral leads', 'subendocardial injury in lateral leads', 'supraventricular tachycardia', 't-wave abnormality', 'ventricular premature complex', 'voltage criteria (qrs) for left ventricular hypertrophy']"
64,"Compared to the first ECG, has the rr interval of the second ECG become normal?","comparison_irrelevant-verify","numeric_feature","['no', 'yes']"
65,"Compared to the first ECG, has the rr interval of the second ECG changed to an abnormal value?","comparison_irrelevant-verify","numeric_feature","['no', 'yes']"
66,"Compared to the first ECG, does the rr interval still show an abnormal value in the second ECG?","comparison_irrelevant-verify","numeric_feature","['no', 'yes']"
67,"Compared to the first ECG, is the rr interval still normal in the second ECG?","comparison_irrelevant-verify","numeric_feature","['no', 'yes']"
68,"What numeric features of the second ECG now have become normal as compared to the first ECG?","comparison_irrelevant-query","numeric_feature","['none', 'p duration', 'pr interval', 'qrs duration', 'qt corrected', 'qt interval', 'rr interval']"
69,"What numeric features of the second ECG are now considered abnormal values as compared to the first ECG?","comparison_irrelevant-query","numeric_feature","['none', 'p duration', 'pr interval', 'qrs duration', 'qt corrected', 'qt interval', 'rr interval']"
70,"What numeric features of the second ECG are still abnormal as compared to the first ECG?","comparison_irrelevant-query","numeric_feature","['none', 'p duration', 'pr interval', 'qrs duration', 'qt corrected', 'qt interval', 'rr interval']"
